岗位ID,发布日期,年月,城市,城市等级,行业,岗位名称,劳动类型,技能方向,结算方式,时薪_元,参考日薪_元,预计月收入_元,每周工时,招聘人数,岗位热度指数,远程办公,经验要求,学历要求,技能门槛_1至5,成长潜力_1至5,高考毕业生适配,培训后可胜任,企业名称,企业类型,公司规模,数据性质,薪资口径说明
PT202601019568,2026-01-08,2026-01,深圳,一线,知识服务,RAG知识库项目助理,脑力劳动,Python+AIGC,小时结,252.8,1011,14230,13,1,97.1,是,有作品集优先,高中/中专及以上,5,4,需培训后,是,灵犀网络技术有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601020170,2026-01-08,2026-01,广州,一线,数据服务,数据分析助理,脑力劳动,Python,小时结,86.2,690,5972,16,5,72.6,是,无需经验,不限,4,3,需培训后,是,博思信息服务有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601020868,2026-01-08,2026-01,青岛,二线,餐饮,饮品店店员,体力劳动,基础服务,日结,30.5,244,2773,21,7,64.1,否,无需经验,不限,2,2,是,是,智谷文化传媒有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601021212,2026-01-08,2026-01,重庆,新一线,广告设计,平面素材处理助理,脑力劳动,普通数字岗位,项目结,46.1,369,4791,24,5,67.9,是,有作品优先,不限,1,2,是,是,星河电子商务有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601021821,2026-01-08,2026-01,济南,二线,会展活动,活动执行助理,体力劳动,基础服务,日结,21.2,127,1102,12,5,53.6,否,无需经验,不限,2,1,是,是,海纳企业服务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601022144,2026-01-08,2026-01,南京,新一线,知识服务,RAG知识库项目助理,脑力劳动,Python+AIGC,项目结,171.1,1027,11854,16,3,88.9,是,有作品集优先,大专及以上,5,4,需培训后,是,灵犀文化传媒有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601022830,2026-01-08,2026-01,长沙,新一线,市场调研,问卷数据整理员,脑力劳动,普通数字岗位,小时结,50.2,402,6086,28,4,72.3,否,无需经验,高中/中专及以上,2,3,是,是,青禾网络技术有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601023193,2026-01-08,2026-01,广州,一线,数据服务,数据分析助理,脑力劳动,Python,周结,104.8,838,7261,16,5,85.7,否,有课程项目经验,高中/中专及以上,3,5,是,是,数创电子商务有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601026163,2026-01-08,2026-01,昆明,二线,电子商务,电商数据分析助理,脑力劳动,Python,项目结,93.3,746,8484,21,3,85.7,否,无需经验,大专及以上,3,5,需培训后,是,跃迁电子商务有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601026403,2026-01-08,2026-01,西安,新一线,物流仓储,快递打包员,体力劳动,基础服务,小时结,22.4,134,2328,24,3,53.9,否,无需经验,高中/中专及以上,2,1,是,是,跃迁科技有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601026731,2026-01-08,2026-01,济南,二线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,项目结,29.6,178,1794,14,2,59.1,否,无需经验,大专及以上,1,3,是,是,海纳电子商务有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601026739,2026-01-08,2026-01,杭州,新一线,广告设计,AI绘图设计助理,脑力劳动,AIGC,周结,166.5,1332,6489,9,5,85.0,是,有课程项目经验,大专及以上,4,5,需培训后,是,海纳科技有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601027878,2026-01-08,2026-01,长沙,新一线,知识服务,RAG知识库项目助理,脑力劳动,Python+AIGC,周结,238.7,1432,9302,9,5,93.6,否,有课程项目经验,大专及以上,5,5,是,是,新橙信息服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601028664,2026-01-08,2026-01,长沙,新一线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,项目结,184.8,1478,17604,22,4,87.6,是,有课程项目经验,大专及以上,4,4,是,是,未来电子商务有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601000120,2026-01-09,2026-01,深圳,一线,软件开发,Python开发助理,脑力劳动,Python,项目结,108.8,870,8009,17,4,89.8,否,有作品集优先,不限,3,3,需培训后,是,云图教育有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601000664,2026-01-09,2026-01,南昌,二线,数字人,数字人内容运营,脑力劳动,AIGC,小时结,146.3,585,10136,16,1,79.1,是,有课程项目经验,高中/中专及以上,3,5,是,部分,明途科技有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601001268,2026-01-09,2026-01,南京,新一线,企业服务,提示词优化助理,脑力劳动,AIGC,小时结,122.8,737,12761,24,2,79.9,是,有课程项目经验,不限,3,5,是,是,云图网络技术有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601001432,2026-01-09,2026-01,杭州,新一线,餐饮,饮品店店员,体力劳动,基础服务,小时结,34.3,206,2673,18,3,52.8,否,无需经验,不限,1,2,是,是,云图电子商务有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601001577,2026-01-09,2026-01,苏州,新一线,品牌营销,AI创意策划助理,脑力劳动,AIGC,周结,140.5,562,6692,11,2,82.9,否,有课程项目经验,高中/中专及以上,4,5,需培训后,部分,未来数字创意有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601001728,2026-01-09,2026-01,杭州,新一线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,项目结,210.5,842,10938,12,2,85.9,否,无需经验,高中/中专及以上,4,4,需培训后,是,未来教育有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601001871,2026-01-09,2026-01,杭州,新一线,文化传媒,AI文案创作助理,脑力劳动,AIGC,周结,166.2,1330,17991,25,4,84.3,是,有作品集优先,高中/中专及以上,3,4,需培训后,是,星河信息服务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601003181,2026-01-09,2026-01,青岛,二线,软件开发,Python开发助理,脑力劳动,Python,项目结,91.3,730,5139,13,5,73.0,是,有作品集优先,高中/中专及以上,3,3,需培训后,是,数创文化传媒有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601003783,2026-01-09,2026-01,苏州,新一线,软件开发,Web后端开发助理,脑力劳动,Python,小时结,114.8,689,9942,20,4,76.8,是,有课程项目经验,不限,3,5,需培训后,是,新橙网络技术有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601004005,2026-01-09,2026-01,成都,新一线,物流仓储,快递打包员,体力劳动,基础服务,小时结,32.5,130,3940,28,2,71.1,否,有相关经验优先,不限,2,1,是,是,知行教育有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601004295,2026-01-09,2026-01,武汉,新一线,商超零售,门店促销员,体力劳动,基础服务,日结,28.8,173,1871,15,1,62.6,否,有相关经验优先,不限,2,3,是,是,未来网络技术有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601004594,2026-01-09,2026-01,合肥,二线,教育科技,AI课件制作助理,脑力劳动,AIGC,项目结,130.3,1042,9591,17,1,89.5,否,有课程项目经验,不限,3,4,是,是,智谷企业服务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601004772,2026-01-09,2026-01,武汉,新一线,客户服务,在线客服,脑力劳动,普通数字岗位,项目结,37.6,150,4070,25,2,77.4,是,无需经验,高中/中专及以上,2,2,是,是,新域教育有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601004859,2026-01-09,2026-01,苏州,新一线,电子商务,AI商品图设计,脑力劳动,AIGC,小时结,127.6,766,4420,8,4,82.5,否,有作品集优先,高中/中专及以上,5,5,需培训后,是,极光科技有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601005515,2026-01-09,2026-01,济南,二线,电子商务,AI商品图设计,脑力劳动,AIGC,周结,114.0,912,5923,12,3,83.6,是,有课程项目经验,大专及以上,5,5,需培训后,部分,数创教育有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601005716,2026-01-09,2026-01,青岛,二线,人工智能,AI应用开发助理,脑力劳动,Python+AIGC,项目结,194.5,778,10948,13,1,92.4,是,有作品集优先,高中/中专及以上,5,4,是,是,青禾网络技术有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601005927,2026-01-09,2026-01,青岛,二线,企业服务,自动化脚本开发,脑力劳动,Python,小时结,107.6,646,9784,21,1,72.5,是,有课程项目经验,大专及以上,3,4,需培训后,是,明途文化传媒有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601006121,2026-01-09,2026-01,广州,一线,测试服务,自动化测试助理,脑力劳动,Python,项目结,87.5,350,5304,14,4,76.4,是,有课程项目经验,高中/中专及以上,4,5,需培训后,是,跃迁网络技术有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601009604,2026-01-09,2026-01,昆明,二线,餐饮,餐厅服务员,体力劳动,基础服务,日结,28.5,171,2962,24,8,60.3,否,无需经验,不限,1,3,是,是,海纳信息服务有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601010576,2026-01-09,2026-01,北京,一线,企业服务,提示词优化助理,脑力劳动,AIGC,项目结,220.5,882,21005,22,5,94.0,是,有课程项目经验,大专及以上,4,5,是,部分,新橙教育有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601010933,2026-01-09,2026-01,济南,二线,广告设计,平面素材处理助理,脑力劳动,普通数字岗位,项目结,40.5,243,3507,20,2,60.2,是,无需经验,高中/中专及以上,1,3,是,是,新橙教育有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601011392,2026-01-09,2026-01,北京,一线,测试服务,自动化测试助理,脑力劳动,Python,项目结,130.5,1044,11866,21,2,71.8,是,有作品集优先,高中/中专及以上,3,4,是,是,星河数字创意有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601011747,2026-01-09,2026-01,昆明,二线,本地生活,校园配送员,体力劳动,基础服务,小时结,20.0,80,1905,22,6,51.0,否,无需经验,高中/中专及以上,2,3,是,是,云图网络技术有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601012143,2026-01-09,2026-01,北京,一线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,项目结,59.0,472,4343,17,1,76.5,否,有相关经验优先,高中/中专及以上,1,3,是,是,明途企业服务有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601012340,2026-01-09,2026-01,昆明,二线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,周结,33.7,135,2627,18,4,72.0,否,有作品优先,高中/中专及以上,1,3,是,是,灵犀科技有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601013055,2026-01-09,2026-01,济南,二线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,项目结,142.6,570,9262,15,3,96.0,是,有课程项目经验,大专及以上,5,5,需培训后,部分,云图企业服务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601013131,2026-01-09,2026-01,合肥,二线,文化传媒,基础文案编辑,脑力劳动,普通数字岗位,小时结,32.3,129,3077,22,2,56.6,是,无需经验,高中/中专及以上,1,2,是,是,海纳科技有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601014518,2026-01-09,2026-01,武汉,新一线,本地生活,搬运协助员,体力劳动,基础服务,周结,32.8,197,3267,23,1,71.1,否,无需经验,不限,2,1,是,是,未来科技有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601014568,2026-01-09,2026-01,深圳,一线,企业服务,自动化脚本开发,脑力劳动,Python,项目结,112.4,899,11681,24,3,74.9,是,无需经验,高中/中专及以上,4,4,需培训后,部分,跃迁信息服务有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601015171,2026-01-09,2026-01,南昌,二线,餐饮,餐厅服务员,体力劳动,基础服务,日结,25.9,104,2916,26,8,50.0,否,无需经验,高中/中专及以上,2,3,是,是,新橙数字创意有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601015332,2026-01-09,2026-01,重庆,新一线,会展活动,展会协助员,体力劳动,基础服务,小时结,29.3,234,3172,25,4,58.1,否,有相关经验优先,高中/中专及以上,1,3,是,是,博思信息服务有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601015626,2026-01-09,2026-01,苏州,新一线,餐饮,餐厅服务员,体力劳动,基础服务,日结,35.4,142,2759,18,2,72.1,否,无需经验,不限,1,3,是,是,星河网络技术有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601016491,2026-01-09,2026-01,郑州,二线,教育服务,线上课程助教,脑力劳动,普通数字岗位,小时结,41.7,334,4514,25,5,77.1,是,有作品优先,不限,2,2,是,是,晨光电子商务有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601016535,2026-01-09,2026-01,青岛,二线,物流仓储,快递打包员,体力劳动,基础服务,日结,27.9,167,3262,27,6,66.9,否,无需经验,不限,1,2,是,是,知行企业服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601016574,2026-01-09,2026-01,武汉,新一线,数字人,数字人内容运营,脑力劳动,AIGC,项目结,117.6,941,5601,11,3,99.2,否,有作品集优先,大专及以上,5,4,是,是,明途企业服务有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601017652,2026-01-09,2026-01,贵阳,二线,品牌营销,AI创意策划助理,脑力劳动,AIGC,项目结,131.3,1050,11939,21,3,89.8,是,有作品集优先,不限,4,4,需培训后,是,云图文化传媒有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601018044,2026-01-09,2026-01,广州,一线,数据服务,多模态数据处理助理,脑力劳动,Python+AIGC,项目结,164.9,1319,17850,25,1,100,否,有课程项目经验,高中/中专及以上,5,5,需培训后,是,青禾网络技术有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601019063,2026-01-09,2026-01,西安,新一线,电子商务,店铺运营助理,脑力劳动,普通数字岗位,小时结,32.9,132,3277,23,3,63.1,是,有作品优先,不限,3,3,是,是,极光网络技术有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601019905,2026-01-09,2026-01,合肥,二线,商超零售,门店促销员,体力劳动,基础服务,小时结,22.9,183,1289,13,8,55.0,否,有相关经验优先,不限,1,2,是,是,新域信息服务有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601020605,2026-01-09,2026-01,苏州,新一线,数据服务,数据分析助理,脑力劳动,Python,项目结,79.0,316,3763,11,3,83.0,否,有课程项目经验,大专及以上,3,5,需培训后,是,远望电子商务有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601021491,2026-01-09,2026-01,长沙,新一线,商超零售,商超理货员,体力劳动,基础服务,周结,32.4,259,4209,30,3,67.8,否,无需经验,不限,2,2,是,是,智谷信息服务有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601021861,2026-01-09,2026-01,石家庄,二线,电子商务,AI商品图设计,脑力劳动,AIGC,项目结,93.3,373,5656,14,2,94.8,否,有作品集优先,高中/中专及以上,4,4,需培训后,是,数创电子商务有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601022236,2026-01-09,2026-01,杭州,新一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,234.3,937,22319,22,2,85.8,是,无需经验,不限,5,5,需培训后,部分,方舟企业服务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601022537,2026-01-09,2026-01,济南,二线,物流仓储,快递打包员,体力劳动,基础服务,小时结,28.8,115,1621,13,7,62.4,否,无需经验,不限,1,1,是,是,未来信息服务有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601023341,2026-01-09,2026-01,广州,一线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,项目结,216.6,1733,17820,19,3,85.5,是,有作品集优先,高中/中专及以上,4,4,是,部分,星河电子商务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601023480,2026-01-09,2026-01,武汉,新一线,会展活动,活动执行助理,体力劳动,基础服务,小时结,30.5,244,2245,17,5,47.1,否,无需经验,不限,2,2,是,是,方舟信息服务有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601023970,2026-01-09,2026-01,上海,一线,软件开发,Python开发助理,脑力劳动,Python,项目结,108.0,432,11691,25,3,86.7,是,有课程项目经验,高中/中专及以上,4,3,需培训后,是,新域信息服务有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601024244,2026-01-09,2026-01,上海,一线,文化传媒,AI文案创作助理,脑力劳动,AIGC,小时结,177.3,1064,9980,13,4,93.2,是,有课程项目经验,大专及以上,4,4,是,是,智谷电子商务有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601024509,2026-01-09,2026-01,杭州,新一线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,项目结,163.7,982,17721,25,4,94.1,否,无需经验,高中/中专及以上,5,4,需培训后,部分,方舟信息服务有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601025514,2026-01-09,2026-01,西安,新一线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,项目结,134.1,805,8129,14,1,91.7,是,有作品集优先,高中/中专及以上,4,4,需培训后,是,智谷企业服务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601026213,2026-01-09,2026-01,南昌,二线,软件开发,Python开发助理,脑力劳动,Python,项目结,81.9,655,7447,21,4,88.9,否,有课程项目经验,大专及以上,3,4,需培训后,是,云杉教育有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601027066,2026-01-09,2026-01,合肥,二线,数据服务,公开数据采集助理,脑力劳动,Python,项目结,105.3,632,6383,14,1,86.1,否,有课程项目经验,高中/中专及以上,3,4,是,是,云杉科技有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601027140,2026-01-09,2026-01,南京,新一线,商超零售,商超理货员,体力劳动,基础服务,周结,38.7,155,3519,21,2,62.9,否,无需经验,不限,2,2,是,是,数创教育有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601027813,2026-01-09,2026-01,南昌,二线,餐饮,餐厅服务员,体力劳动,基础服务,小时结,26.0,208,3490,31,2,61.9,否,无需经验,不限,2,1,是,是,新橙电子商务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601028068,2026-01-09,2026-01,长沙,新一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,168.4,674,5833,8,5,85.9,是,有课程项目经验,大专及以上,4,5,需培训后,是,海纳数字创意有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601028569,2026-01-09,2026-01,郑州,二线,短视频,AI视频制作助理,脑力劳动,AIGC,小时结,108.0,648,7015,15,3,85.2,是,无需经验,大专及以上,3,5,需培训后,部分,晨光科技有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601028604,2026-01-09,2026-01,广州,一线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,小时结,196.9,1575,17904,21,1,89.9,是,有课程项目经验,不限,4,5,是,是,知行教育有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601029016,2026-01-09,2026-01,青岛,二线,商超零售,门店促销员,体力劳动,基础服务,日结,37.5,300,4546,28,7,70.8,否,无需经验,不限,1,2,是,是,启航信息服务有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601029086,2026-01-09,2026-01,武汉,新一线,商超零售,门店促销员,体力劳动,基础服务,日结,33.6,269,4365,30,8,57.9,否,有相关经验优先,高中/中专及以上,2,2,是,是,晨光电子商务有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601029551,2026-01-09,2026-01,杭州,新一线,教育服务,教室管理助理,体力劳动,基础服务,周结,32.5,260,3659,26,4,54.8,否,无需经验,不限,1,2,是,是,远望教育有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601029622,2026-01-09,2026-01,石家庄,二线,商超零售,门店促销员,体力劳动,基础服务,小时结,24.5,98,1697,16,8,52.0,否,无需经验,不限,1,3,是,是,博思电子商务有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601000460,2026-01-10,2026-01,南京,新一线,办公服务,表格数据处理员,脑力劳动,普通数字岗位,周结,52.3,209,4076,18,4,69.9,否,有作品优先,高中/中专及以上,3,3,是,是,数创数字创意有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601000905,2026-01-10,2026-01,济南,二线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,项目结,218.4,1310,15131,16,3,85.6,是,有作品集优先,高中/中专及以上,5,4,需培训后,是,青禾数字创意有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601001359,2026-01-10,2026-01,青岛,二线,数据服务,数据分析助理,脑力劳动,Python,小时结,79.8,638,2764,8,2,85.0,是,有作品集优先,高中/中专及以上,4,3,是,部分,未来企业服务有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601002190,2026-01-10,2026-01,苏州,新一线,测试服务,自动化测试助理,脑力劳动,Python,周结,84.0,336,8366,23,4,75.1,是,有作品集优先,不限,3,3,需培训后,是,海纳教育有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601002718,2026-01-10,2026-01,西安,新一线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,小时结,268.9,2151,23287,20,5,93.0,是,有课程项目经验,高中/中专及以上,5,5,需培训后,是,启航企业服务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601003099,2026-01-10,2026-01,成都,新一线,短视频,AI视频制作助理,脑力劳动,AIGC,项目结,94.5,378,7775,19,4,83.2,是,有作品集优先,高中/中专及以上,5,5,需培训后,是,未来文化传媒有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601003254,2026-01-10,2026-01,贵阳,二线,餐饮,饮品店店员,体力劳动,基础服务,小时结,24.2,97,2620,25,8,53.2,否,无需经验,不限,1,2,是,是,极光科技有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601003498,2026-01-10,2026-01,深圳,一线,餐饮,餐厅服务员,体力劳动,基础服务,周结,32.8,262,3693,26,4,70.5,否,无需经验,不限,1,2,是,是,青禾教育有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601003533,2026-01-10,2026-01,青岛,二线,知识服务,RAG知识库项目助理,脑力劳动,Python+AIGC,项目结,157.0,628,5438,8,1,87.2,是,有课程项目经验,大专及以上,4,4,是,是,极光电子商务有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601003875,2026-01-10,2026-01,贵阳,二线,数据服务,多模态数据处理助理,脑力劳动,Python+AIGC,项目结,175.6,702,6843,9,1,92.8,否,有课程项目经验,高中/中专及以上,4,5,需培训后,是,数创数字创意有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601003895,2026-01-10,2026-01,重庆,新一线,客户服务,在线客服,脑力劳动,普通数字岗位,项目结,45.8,183,3966,20,1,59.8,是,无需经验,不限,1,2,是,是,数创企业服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601004432,2026-01-10,2026-01,南京,新一线,会展活动,展会协助员,体力劳动,基础服务,小时结,33.3,200,3605,25,8,55.5,否,无需经验,不限,2,3,是,是,方舟教育有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601005387,2026-01-10,2026-01,重庆,新一线,物流仓储,快递打包员,体力劳动,基础服务,日结,25.9,155,1570,14,5,58.1,否,无需经验,高中/中专及以上,1,3,是,是,云图数字创意有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202601005974,2026-01-10,2026-01,合肥,二线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,项目结,192.2,1538,10819,13,4,86.5,是,无需经验,高中/中专及以上,4,4,需培训后,部分,启航数字创意有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
